# ============================================================================
# MODE=control expectations — one line per assertion, in assertion-file order
# ============================================================================
# scripts/replay-migrations.sh MODE=control applies supabase/replay/01_floor_schema.sql
# and the behaviour fixtures WITHOUT the branch migrations, then runs
# supabase/replay/10_assert_release_contracts.sql with `replay.collect = on` and
# hands the log to scripts/control-marker-accounting.mjs together with this file.
#
#   fail  the assertion is load-bearing: it MUST emit exactly one
#         `ASSERT_FAIL <name>` against the un-remediated floor. If it passes
#         there, it is a tautology and proves nothing about the migration.
#
#   pass  the assertion holds against the floor by design, and the reason is one
#         of four:
#           - an outage detector (F-09 / F-10 leg 2: `authenticated` and
#             service_role must KEEP grants the reviewed revision revoked, which
#             would have taken ten call sites offline);
#           - an F-02 "do not delete the identity" invariant;
#           - a fixture precondition, describing the seed rather than the release;
#           - the paired half of a behaviour assertion — "the refusal left the row
#             alone", "the fixture was rolled back", "the unrelated lock was not
#             taken". On the floor the action under test does not happen at all, so
#             nothing changed; the load-bearing half of the pair is the SQLSTATE.
#
# Why this file exists at all, rather than a list inside the shell script
# ----------------------------------------------------------------------
# Round-3 finding P1-12. The control used to check two things: that each declared
# name appeared somewhere in the assertion file, and that no `ASSERT_OK <name>`
# line was observed for it. The second is satisfied by an assertion that never
# ran — and 78 of them never ran, because a DO block that hit undefined_function
# against the floor aborted and silenced every assertion below it. CI reported
# "100 load-bearing assertions all fail without their migration" while the log
# held 87 assertion-specific failure markers and 40 unclassified SQL errors.
#
# The accounting is now exact and one-to-one in both directions: this file and the
# assertion file must declare the same set of names, every name must produce
# exactly one marker, every marker must match its declared verdict, and the
# control log must contain no unclassified SQL error at all. The gate itself is
# mutation-tested by tests/release/control-marker-accounting.test.mjs.
#
# Adding an assertion means adding a line here. There is no default: an
# undeclared name fails the run, and so does a declared name with no assertion.
# ============================================================================
pass baseline-meta-tokens-exists
fail baseline-profiles-revocation-columns-exist
pass f09-authenticated-can-execute-confirm-payment
pass f09-authenticated-can-execute-approve-contract
pass f09-authenticated-can-execute-allocate-payment
pass f09-service-role-can-execute-confirm-payment
fail f09-anon-cannot-execute-confirm-payment
fail f09-anon-cannot-execute-approve-contract
fail f09-anon-cannot-execute-allocate-payment
pass f09-authenticated-retains-contracts-insert
pass f09-authenticated-retains-contracts-update
pass f09-authenticated-retains-payments-insert
pass f09-authenticated-retains-installment-plans-insert
pass f09-authenticated-retains-contract-approvals-insert
pass f09-authenticated-retains-quotations-update
pass f06-authenticated-can-update-last-active-at
pass f06-authenticated-can-update-updated-at
pass f06-authenticated-retains-profiles-select
fail f06-authenticated-cannot-update-email
fail f06-authenticated-cannot-update-password-changed-at
fail f06-authenticated-cannot-update-force-password-change
fail f06-authenticated-cannot-update-is-active
fail f06-authenticated-cannot-update-role
fail f08-permissive-audit-insert-policy-is-gone
pass f08-permissive-activity-insert-policy-is-gone
pass f08-permissive-session-insert-policy-is-gone
fail f08-audit-insert-closed-for-authenticated
fail f08-activity-insert-closed-for-authenticated
fail f08-session-insert-closed-for-authenticated
fail f08-authenticated-cannot-forge-audit-row
fail f08-authenticated-cannot-append-self-attributed-audit-row
fail f10-permissive-select-policy-is-gone
fail f10-authenticated-has-no-select-grant
fail f10-anon-has-no-select-grant
pass f10-service-role-retains-select
pass f10-service-role-retains-insert
pass f10-service-role-retains-update
fail f10-authenticated-cannot-read-meta-tokens
pass f02-identity-not-deleted
pass f02-profile-not-deleted
fail f02-account-neutralised
pass f02-audit-attribution-survives
pass f02-other-privileged-account-untouched
fail kpi-replace-function-exists
fail kpi-service-role-can-execute
fail kpi-authenticated-cannot-execute
fail kpi-anon-cannot-execute
fail kpi-definer-with-pinned-search-path
fail kpi-unassigned-target-is-unique-per-period-and-type
pass kpi-fixture-period-seeded
fail kpi-invalid-target-type-refused-by-a-check-constraint
pass kpi-failed-replace-preserves-period
fail kpi-empty-row-set-refused-as-an-invalid-parameter
pass kpi-empty-replace-preserves-period
fail kpi-replace-refuses-duplicate-unassigned-keys
pass kpi-duplicate-key-replace-preserves-period
fail kpi-replace-holds-a-period-scoped-advisory-lock
pass kpi-replace-lock-key-is-derived-from-the-period
fail kpi-successful-replace-replaces-period
fail money-actor-definer-with-pinned-search-path
fail money-counters-table-unreachable-by-end-user-roles
fail money-next-contract-no-unreachable-by-end-user-roles
fail money-write-guards-installed-and-enabled
fail money-routines-are-security-definer
fail money-lead-won-trigger-kept-definer-and-pinned-search-path
fail money-contract-no-seeded-from-highest-issued-number
fail money-contract-no-increments-under-repeat-calls
fail money-actor-returns-session-subject-for-end-user-call
fail money-actor-refuses-claimed-id-that-is-not-the-session
fail money-actor-refuses-inactive-account
fail money-actor-refuses-disallowed-role
fail money-actor-requires-an-actor-id-in-a-server-context
fail f09-confirm-payment-refuses-impersonated-confirmer
fail f09-confirm-payment-refuses-unauthorised-role
fail f09-confirm-payment-succeeds-for-finance-as-itself
fail money-confirm-payment-updates-project-paid-amount
fail money-confirm-payment-increments-kpi-actual-amount
fail money-confirm-payment-refuses-second-confirmation
fail f09-allocate-payment-refuses-impersonated-allocator
fail money-allocate-payment-refuses-plan-from-another-contract
fail money-allocate-payment-leaves-the-other-contract-untouched
pass money-allocate-payment-binds-and-recomputes-plans
